Time, Chamber Pressure,
(ms),(bar)
15,1.4844412445
15.02,1.4844412445
15.04,1.4844412445
15.06,1.4844412445
15.08,1.4844412445
15.1,1.4844412445
15.12,1.4844412445
15.14,1.4844412445
15.16,1.4844412445
15.18,1.4913360018
15.2,1.4844412445
15.22,1.4844412445
15.24,1.4844412445
15.26,1.4844412445
15.28,1.4775464872
15.3,1.4775464872
15.32,1.4844412445
15.34,1.4844412445
15.36,1.4844412445
15.38,1.4844412445
15.4,1.4844412445
15.42,1.4913360018
15.44,1.4844412445
15.46,1.4844412445
15.48,1.4913360018
15.5,1.4844412445
15.52,1.4913360018
15.54,1.4913360018
15.56,1.4913360018
15.58,1.4913360018
15.6,1.4913360018
15.62,1.4913360018
15.64,1.4844412445
15.66,1.4913360018
15.68,1.4913360018
15.7,1.4913360018
15.72,1.4913360018
15.74,1.4913360018
15.76,1.4913360018
15.78,1.4913360018
15.8,1.4913360018
15.82,1.4844412445
15.84,1.4913360018
15.86,1.4975412834
15.88,1.4913360018
15.9,1.4913360018
15.92,1.4913360018
15.94,1.4913360018
15.96,1.4913360018
15.98,1.4844412445
16,1.4913360018
16.02,1.4913360018
16.04,1.4975412834
16.06,1.4975412834
16.08,1.5044360407
16.1,1.4975412834
16.12,1.4975412834
16.14,1.5044360407
16.16,1.4975412834
16.18,1.4975412834
16.2,1.4975412834
16.22,1.4975412834
16.24,1.5044360407
16.26,1.5044360407
16.28,1.4975412834
16.3,1.4975412834
16.32,1.4975412834
16.34,1.4975412834
16.36,1.4913360018
16.38,1.4975412834
16.4,1.4975412834
16.42,1.4975412834
16.44,1.4975412834
16.46,1.4975412834
16.48,1.4975412834
16.5,1.4975412834
16.52,1.4975412834
16.54,1.5044360407
16.56,1.5044360407
16.58,1.5044360407
16.6,1.5044360407
16.62,1.5044360407
16.64,1.5044360407
16.66,1.5044360407
16.68,1.5044360407
16.7,1.5044360407
16.72,1.5044360407
16.74,1.5044360407
16.76,1.5044360407
16.78,1.5044360407
16.8,1.5044360407
16.82,1.5044360407
16.84,1.5044360407
16.86,1.5044360407
16.88,1.5044360407
16.9,1.5044360407
16.92,1.5044360407
16.94,1.511330798
16.96,1.5044360407
16.98,1.5044360407
17,1.5044360407
17.02,1.5044360407
17.04,1.5044360407
17.06,1.511330798
17.08,1.511330798
17.1,1.511330798
17.12,1.511330798
17.14,1.511330798
17.16,1.511330798
17.18,1.511330798
17.2,1.511330798
17.22,1.511330798
17.24,1.5182255553
17.26,1.511330798
17.28,1.5182255553
17.3,1.511330798
17.32,1.511330798
17.34,1.511330798
17.36,1.511330798
17.38,1.511330798
17.4,1.511330798
17.42,1.511330798
17.44,1.511330798
17.46,1.5182255553
17.48,1.5182255553
17.5,1.5182255553
17.52,1.5182255553
17.54,1.5182255553
17.56,1.5182255553
17.58,1.5182255553
17.6,1.5182255553
17.62,1.5244308368
17.64,1.5244308368
17.66,1.5244308368
17.68,1.5244308368
17.7,1.5182255553
17.72,1.5182255553
17.74,1.5182255553
17.76,1.5182255553
17.78,1.5244308368
17.8,1.5244308368
17.82,1.5244308368
17.84,1.5244308368
17.86,1.5244308368
17.88,1.5182255553
17.9,1.5244308368
17.92,1.5244308368
17.94,1.5244308368
17.96,1.5244308368
17.98,1.5244308368
18,1.5244308368
18.02,1.5244308368
18.04,1.5244308368
18.06,1.5244308368
18.08,1.5244308368
18.1,1.5244308368
18.12,1.5313255941
18.14,1.5313255941
18.16,1.5313255941
18.18,1.5313255941
18.2,1.5313255941
18.22,1.5313255941
18.24,1.5313255941
18.26,1.5313255941
18.28,1.5313255941
18.3,1.5313255941
18.32,1.5313255941
18.34,1.5313255941
18.36,1.5313255941
18.38,1.5313255941
18.4,1.5313255941
18.42,1.5313255941
18.44,1.5313255941
18.46,1.5313255941
18.48,1.5313255941
18.5,1.5382203514
18.52,1.5382203514
18.54,1.5382203514
18.56,1.5382203514
18.58,1.5382203514
18.6,1.5382203514
18.62,1.5382203514
18.64,1.5451151087
18.66,1.5451151087
18.68,1.5451151087
18.7,1.5451151087
18.72,1.5451151087
18.74,1.5382203514
18.76,1.5382203514
18.78,1.5382203514
18.8,1.5451151087
18.82,1.5451151087
18.84,1.5451151087
18.86,1.5451151087
18.88,1.5451151087
18.9,1.5451151087
18.92,1.5451151087
18.94,1.5451151087
18.96,1.5451151087
18.98,1.5451151087
19,1.5451151087
19.02,1.5451151087
19.04,1.5513203903
19.06,1.5451151087
19.08,1.5513203903
19.1,1.5513203903
19.12,1.5513203903
19.14,1.5513203903
19.16,1.5513203903
19.18,1.5582151475
19.2,1.5582151475
19.22,1.5582151475
19.24,1.5582151475
19.26,1.5582151475
19.28,1.5582151475
19.3,1.5582151475
19.32,1.5582151475
19.34,1.5582151475
19.36,1.5582151475
19.38,1.5582151475
19.4,1.5582151475
19.42,1.5582151475
19.44,1.5582151475
19.46,1.5582151475
19.48,1.5582151475
19.5,1.5582151475
19.52,1.5651099048
19.54,1.5651099048
19.56,1.5651099048
19.58,1.5651099048
19.6,1.5651099048
19.62,1.5651099048
19.64,1.5720046621
19.66,1.5720046621
19.68,1.5720046621
19.7,1.5720046621
19.72,1.5720046621
19.74,1.5720046621
19.76,1.5720046621
19.78,1.5720046621
19.8,1.5720046621
19.82,1.5720046621
19.84,1.5720046621
19.86,1.5788994194
19.88,1.5788994194
19.9,1.5788994194
19.92,1.5788994194
